2017-05-16 11:35:49.400789 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] Populating workers...
2017-05-16 11:35:49.401133 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] Populated
2017-05-16 11:35:54.236963 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #0 | Training started
2017-05-16 11:35:54.237821 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #0 | Populating workers...
2017-05-16 11:35:54.238120 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #0 | Populated
2017-05-16 11:36:28.785157 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #0 | Training finished
2017-05-16 11:36:28.786002 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #1 | Training started
2017-05-16 11:36:28.788353 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #1 | Populating workers...
2017-05-16 11:36:28.788640 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #1 | Populated
2017-05-16 11:37:01.768177 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #1 | Training finished
2017-05-16 11:37:01.768753 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #2 | Training started
2017-05-16 11:37:01.770805 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #2 | Populating workers...
2017-05-16 11:37:01.771076 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #2 | Populated
2017-05-16 11:37:38.960450 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #2 | Training finished
2017-05-16 11:37:38.961127 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #3 | Training started
2017-05-16 11:37:38.962665 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #3 | Populating workers...
2017-05-16 11:37:38.963028 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #3 | Populated
2017-05-16 11:38:12.502036 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #3 | Training finished
2017-05-16 11:38:12.503210 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #4 | Training started
2017-05-16 11:38:12.504428 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #4 | Populating workers...
2017-05-16 11:38:12.504694 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #4 | Populated
2017-05-16 11:38:47.046697 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #4 | Training finished
2017-05-16 11:38:47.047369 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #5 | Training started
2017-05-16 11:38:47.047912 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #5 | Populating workers...
2017-05-16 11:38:47.048233 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #5 | Populated
2017-05-16 11:39:24.109598 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #5 | Training finished
2017-05-16 11:39:24.271494 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #6 | Training started
2017-05-16 11:39:24.272857 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #6 | Populating workers...
2017-05-16 11:39:24.273148 EDT | [LAST_DDPG_RUNS/DDPG_Simple_Humanoid/Experiment_0] epoch #6 | Populated
